編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQTMLOKIIPFFAF68CC,14,12.65,共有部份,鋼骨鋼筋混凝土造,95年9月14日,三十七層,
RPQTMLOKIIPFFAF68CC,14,1.35,共有部份,鋼骨鋼筋混凝土造,95年9月14日,三十七層,
RPQTMLOKIIPFFAF68CC,14,2.26,共有部份,鋼骨鋼筋混凝土造,95年9月14日,三十七層,
RPQTMLOKIIPFFAF68CC,14,1.86,見其他登記事項,鋼骨鋼筋混凝土造,95年9月14日,三十七層,
RPQTMLOKIIPFFAF68CC,14,1.59,共有部份,鋼骨鋼筋混凝土造,95年9月14日,三十七層,
RPQTMLOKIIPFFAF68CC,14,.02,共有部份,鋼骨鋼筋混凝土造,95年9月14日,三十七層,
RPRQMLOKIIPFFHF56CC,13,56.20,住家用,鋼筋混凝土造,97年1月29日,十四層,
RPRQMLOKIIPFFHF56CC,13,3.30,共有部份,鋼筋混凝土造,97年1月29日,十四層,
RPRQMLOKIIPFFHF56CC,13,6.85,共有部份,鋼筋混凝土造,97年1月29日,十四層,
RPRQMLOKIIPFFHF56CC,13,6.98,共有部份,鋼筋混凝土造,97年1月29日,十四層,
RPRQMLOKIIPFFHF56CC,13,9.19,共有部份,鋼筋混凝土造,97年1月29日,十四層,
RPQPMLOKIIPFFBF38CC,2,190.19,見其他登記事項,鋼骨鋼筋混凝土造,107年6月28日,三十六層,
RPQPMLOKIIPFFBF38CC,2,12.74,見其他登記事項,鋼骨鋼筋混凝土造,107年6月28日,三十六層,
RPQPMLOKIIPFFBF38CC,2,87.65,見其他登記事項,鋼骨鋼筋混凝土造,107年6月28日,三十六層,
RPUQMLOKIIPFFHF86CC,25,118.35,住家用,鋼筋混凝土造,85年3月22日,二十五層,
RPVQMLNKIIPFFBF88CC,1,85.51,見其他登記事項,鋼筋混凝土造,108年3月19日,十九層,
RPVQMLNKIIPFFBF88CC,1,24.84,見其他登記事項,鋼筋混凝土造,108年3月19日,十九層,
RPVQMLNKIIPFFBF88CC,1,.33,見其他登記事項,鋼筋混凝土造,108年3月19日,十九層,
RPVQMLNKIIPFFBF88CC,1,7.62,見其他登記事項,鋼筋混凝土造,108年3月19日,十九層,
RPVQMLNKIIPFFBF88CC,1,.28,見其他登記事項,鋼筋混凝土造,108年3月19日,十九層,
RPVQMLNKIIPFFBF88CC,1,3.66,見其他登記事項,鋼筋混凝土造,108年3月19日,十九層,
RPVQMLNKIIPFFBF88CC,1,41.47,見其他登記事項,鋼筋混凝土造,108年3月19日,十九層,
RPRSMLOKIIPFFGF66CC,27,97.59,住家用,鋼筋混凝土造,82年4月8日,七層,
RPRSMLOKIIPFFGF66CC,27,8.97,共有部份,鋼筋混凝土造,82年4月8日,七層,
RPRSMLOKIIPFFGF66CC,27,2.95,共有部份,鋼筋混凝土造,82年4月8日,七層,
RPQSMLOKIIPFFGF56CC,45,67.46,住家用,加強磚造,64年5月26日,四層,
RPPVMLOKIIPFFAF78CC,42,104.75,商業用,鋼筋混凝土造,68年3月23日,五層,
RPPVMLOKIIPFFAF78CC,42,103.21,住家用,鋼筋混凝土造,68年3月23日,五層,
RPPVMLOKIIPFFAF78CC,42,103.21,住家用,鋼筋混凝土造,68年3月23日,五層,
RPWNMLOKIIPFFDF98CC,1,25.70,見其他登記事項,見其他登記事項,108年4月29日,二十二層,
RPWNMLOKIIPFFDF98CC,1,59.55,見其他登記事項,見其他登記事項,108年4月29日,二十二層,
RPWNMLOKIIPFFDF98CC,1,99.09,見其他登記事項,見其他登記事項,108年4月29日,二十二層,
RPUPMLOKIIPFFCF88CC,17,29.87,共有部分,鋼筋混凝土造,92年12月1日,十四層,
RPPOMLPKIIPFFHF88CC,24,61.68,住家用,鋼骨鋼筋混凝土造,86年3月22日,三十三層,
RPPOMLPKIIPFFHF88CC,24,14.42,共有部份,鋼筋混凝土造,86年3月22日,三十三層,
RPPOMLPKIIPFFHF88CC,24,7.71,共有部份,鋼骨鋼筋混凝土造,86年3月22日,三十三層,
RPXPMLPKIIPFFGF07CC,39,15.60,住家用,鋼筋混凝土造,70年9月30日,五層,
RPOPMLPKIIPFFIF98CC,24,25.96,住家用,鋼筋混凝土造,85年4月1日,十六層,
RPTSMLOKIIPFFIF07CC,43,78.53,住家用,鋼筋混凝土造,67年1月7日,三層,
RPTSMLOKIIPFFIF07CC,43,6.74,共有部份,鋼筋混凝土造,67年1月7日,三層,
RPUPMLPKIIPFFGF76CC,39,15.60,住家用,鋼筋混凝土造,70年9月30日,五層,
RPTOMLOKIIPFFEF09EC,25,73.06,住家用,鋼筋混凝土造,84年6月26日,五層,
RPRPMLPKIIPFFGF09CC,39,13.00,住家用,鋼筋混凝土造,70年12月28日,五層,
RPUOMLPKIIPFFBF78CC,6,139.72,見其他登記事項,鋼筋混凝土造,103年10月20日,十三層,
