鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中山區,建物,臺北市中山區雙城街13巷1~30號,0.0,商,,,1090921,土地0建物1車位0,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010327,173.37,3,2,2,有,有,有,67000,386,,0.0,0,續租。;含管理費、稅金或水電等費用。;,RPXOMLNKIIPFFCA48CC
中山區,建物,臺北市中山區民權西路9巷1~30號,0.0,商,,,1090930,土地0建物1車位0,六層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011112,72.04,1,1,1,有,有,有,45000,625,,0.0,0,含管理費、稅金或水電等費用。;,RPQPMLNKIIPFFCA87CC
內湖區,建物,臺北市內湖區民權東路六段91~120號,0.0,住,,,1090924,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691024,108.38,3,2,2,有,無,有,30000,277,,0.0,0,,RPVPMLNKIIPFFCA38CC
內湖區,建物,臺北市內湖區民權東路六段121~150號,0.0,商,,,1090915,土地0建物1車位0,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960621,43.73,0,0,0,無,有,有,19000,434,,0.0,0,,RPWPMLNKIIPFFCA48CC
內湖區,建物,臺北市內湖區民權東路六段121~150號,0.0,商,,,1090918,土地0建物1車位0,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960621,39.97,0,0,0,無,有,有,19000,475,,0.0,0,,RPQQMLNKIIPFFCA97CC
中山區,建物,臺北市中山區北安路781~810號,0.0,住,,,1090921,土地0建物1車位0,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020904,75.88,2,1,1,有,有,有,44344,584,,0.0,0,租賃範圍不含車位，且無法區分車位面積。;續租。;含管理費、稅金或水電等費用。;,RPRQMLNKIIPFFCA08CC
中山區,房地(土地+建物),臺北市中山區遼寧街62巷1~30號,0.0,住,,,1091011,土地0建物1車位0,一層,6,店面(店鋪),住家用,鋼筋混凝土造,0870617,79.47,2,1,1,有,無,無,35000,440,,0.0,0,,RPQRMLNKIIPFFCA08CC
中山區,建物,臺北市中山區民權東路一段31~60號,0.0,商,,,1090811,土地0建物1車位0,見其他登記事項,12,辦公商業大樓,住家用,鋼筋混凝土造,0961002,717.82,0,0,0,無,有,有,367500,512,,0.0,0,,RPXRMLNKIIPFFCA78CC
萬華區,建物,臺北市萬華區東園街73巷31~60號,0.0,住,,,1091005,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),,鋼筋混凝土造,0600624,65.39,2,1,1,有,無,有,15000,229,,0.0,0,台北市都發局社會住宅包租代管計畫,RPTNMLNKIIPFFBA87CC
大同區,建物,臺北市大同區重慶北路二段1~30號,0.0,商,,,1090926,土地0建物0車位0,二層,4,套房(1房1廳1衛),商業用,加強磚造,0471231,28.47,1,0,1,有,無,有,12000,421,,0.0,0,此為分租套房，第二層共分成三間，一間平均面積約為28.47平方公尺。,RPVNMLNKIIPFFBA08CC
中正區,建物,臺北市中正區臨沂街33巷1~30號,0.0,住,,,1090929,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1000330,121.92999999999999,2,2,2,有,無,有,60000,492,,0.0,0,,RPQOMLNKIIPFFBA67CC
大同區,建物,臺北市大同區重慶北路三段121~150號,0.0,商,,,1090925,土地0建物1車位0,一層,4,店面(店鋪),工業用,鋼筋混凝土造,,50.84,0,0,0,無,無,無,33000,649,,0.0,0,僅承租一樓店面之一半靠左的空間,大約50.84平方公尺。,RPVOMLNKIIPFFBA18CC
大同區,建物,臺北市大同區市民大道一段181~210號,0.0,其他,,,1091001,土地0建物1車位0,十四層,18,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0980724,80.4,2,2,1,有,有,有,62000,771,,0.0,0,續租。;含管理費、稅金或水電等費用。;,RPWOMLNKIIPFFBA28CC
大同區,建物,臺北市大同區南京西路25巷31~60號,0.0,商,,,1091001,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970626,99.72999999999999,2,2,1,有,有,有,48000,481,,0.0,0,續租。;含管理費、稅金或水電等費用。;,RPXOMLNKIIPFFBA38CC
中正區,建物,臺北市中正區忠孝西路一段1~30號,0.0,商,,,1090925,土地0建物1車位0,七層,9,華廈(10層含以下有電梯),,鋼筋混凝土造,,248.04,4,2,2,有,有,無,78000,314,,0.0,0,含管理費、稅金或水電等費用。;,RPRPMLNKIIPFFBA87CC
萬華區,建物,臺北市萬華區長沙街二段61~90號,0.0,商,,,1090923,土地0建物0車位0,全,5,透天厝,,加強磚造,,16.67,1,0,1,有,無,有,4800,288,,0.0,0,一間面積約為16.67平方公尺。,RPXPMLNKIIPFFBA48CC
萬華區,建物,臺北市萬華區西寧南路211~240號,0.0,其他,,,1090928,土地0建物0車位0,八層,10,套房(1房1廳1衛),住家用,鋼筋混凝土造,0620303,26.26,1,0,1,有,無,有,9800,373,,0.0,0,此為分租套房，第八層共分成八間，一間平均面積約為26.26平方公尺。,RPSQMLNKIIPFFBA08CC
中正區,建物,臺北市中正區開封街一段106巷1~30號,0.0,商,,,1091006,土地0建物0車位0,三層,3,套房(1房1廳1衛),,加強磚造,,25.56,1,0,1,有,無,有,10000,391,,0.0,0,此為分租套房，房號302，第3層分成2間，一間平均面積為25.56平方公尺,RPTOMLOKIIPFFBA08CC
