編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSSMLTKIIPFFBH96CC,28,86.74,住家用,鋼筋混凝土造,81年11月19日,七層,
RPSSMLTKIIPFFBH96CC,28,9.15,共有部分,鋼筋混凝土造,81年11月19日,七層,
RPQRMLKLIIPFFEH78CC,26,236.28,見其他登記事項,鋼筋混凝土造,83年10月11日,四層,
RPQRMLKLIIPFFEH78CC,26,19.60,共有部份,鋼筋混凝土造,83年10月11日,四層,
RPPRMLTKIIPFFBH56CC,25,64.87,住家用,鋼筋混凝土造,84年6月9日,七層,
RPPRMLTKIIPFFBH56CC,25,16.61,共有部分,鋼筋混凝土造,84年6月9日,七層,
RPQOMLKLIIPFFFH58CC,38,15.51,住家用,鋼筋混凝土造,71年8月31日,五層,
RPXNMLKLIIPFFFH56CC,7,87.68,住家用,鋼筋混凝土造,103年1月20日,十五層,
RPXNMLKLIIPFFFH56CC,7,56.42,見其他登記事項,鋼筋混凝土造,103年1月20日,十五層,
RPXNMLKLIIPFFFH56CC,7,20.67,見其他登記事項,鋼筋混凝土造,103年1月20日,十五層,
RPRRMLTKIIPFFBH76CC,47,38.18,住家用,加強磚造,62年8月18日,二層,
RPTOMLKLIIPFFHH56DC,18,283.54,見其他登記事項,鋼筋混凝土造,91年5月23日,五層,
