編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSOMLOKIIPFFFA38CC,36,182.34,住家用,鋼筋混凝土造,73年7月24日,七層,
RPSOMLOKIIPFFFA38CC,36,7.44,共有部分,鋼筋混凝土造,73年7月24日,七層,
RPUTMLOKIIPFFCA78CC,46,28.12,住家用,鋼筋混凝土造,63年12月15日,四層,
RPVPMLOKIIPFFDA58CC,38,77.35,商業用,鋼筋混凝土造,72年1月29日,十五層,
RPWOMLPKIIPFFEA78CC,36,152.95,住家用,鋼筋混凝土造,74年3月13日,七層,
RPWOMLPKIIPFFEA78CC,36,8.98,共有部分,鋼筋混凝土造,74年3月13日,七層,
RPPOMLPKIIPFFDA97CC,16,38.94,住家用,見其他登記事項,93年11月30日,二十五層,
RPPOMLPKIIPFFDA97CC,16,15.11,共有部分,見其他登記事項,93年11月30日,二十五層,
RPPOMLPKIIPFFDA97CC,16,22.79,共有部分,見其他登記事項,93年11月30日,二十五層,
RPPOMLPKIIPFFDA97CC,16,3.14,共有部分,見其他登記事項,93年11月30日,二十五層,
RPVQMLOKIIPFFAA38CC,44,83.44,住家用,鋼筋混凝土造,65年12月18日,七層,
RPVQMLOKIIPFFAA38CC,44,17.42,見其他登記事項,鋼筋混凝土造,65年11月26日,四層,
RPUNMLPKIIPFFDA38CC,41,17.75,見使用執照,鋼筋混凝土造,68年10月15日,五層,
RPSPMLOKIIPFFDA28CC,24,32.21,商業用,鋼筋混凝土造,85年11月6日,十三層,
RPSPMLOKIIPFFDA28CC,24,2.40,見使用執照,鋼筋混凝土造,85年11月6日,十三層,
RPSPMLOKIIPFFDA28CC,24,4.73,共有部分,鋼筋混凝土造,85年11月6日,十三層,
RPSPMLOKIIPFFDA28CC,24,7.96,共有部分,鋼筋混凝土造,85年11月6日,十三層,
RPOOMLPKIIPFFAA57CC,45,23.47,住家用,鋼筋混凝土造,64年12月29日,四層,
RPQOMLPKIIPFFDA08CC,16,39.83,住家用,見其他登記事項,93年11月30日,二十五層,
RPQOMLPKIIPFFDA08CC,16,15.11,共有部分,見其他登記事項,93年11月30日,二十五層,
RPQOMLPKIIPFFDA08CC,16,23.34,共有部分,見其他登記事項,93年11月30日,二十五層,
RPQOMLPKIIPFFDA08CC,16,3.14,共有部分,見其他登記事項,93年11月30日,二十五層,
RPXOMLOKIIPFFBA48CC,40,150.84,商業用,鋼筋混凝土造,69年7月10日,十一層,
RPXOMLPKIIPFFDA78CC,,153.13,住家用,鋼筋混凝土造,,七層,
RPOQMLPKIIPFFCA97CC,11,76.03,見其他登記事項,鋼筋混凝土造,99年3月4日,五層,
RPXOMLPKIIPFFCA68CC,21,236.68,見使用執照,鋼筋混凝土造,88年8月19日,七層,
RPXOMLPKIIPFFCA68CC,21,96.89,共有部分,鋼筋混凝土造,88年8月19日,七層,
RPXOMLPKIIPFFCA68CC,21,179.77,共有部分,鋼筋混凝土造,88年8月19日,七層,
RPOPMLPKIIPFFDA97CC,30,690.85,商業用,鋼筋混凝土造,79年6月26日,十八層,
RPOPMLPKIIPFFDA97CC,30,71.12,共有部分,鋼筋混凝土造,79年6月26日,十八層,
RPOPMLPKIIPFFDA97CC,30,89.71,見使用執照,鋼筋混凝土造,79年6月26日,十八層,
RPOPMLPKIIPFFDA97CC,30,286.42,見使用執照,鋼筋混凝土造,79年6月26日,十八層,
RPXOMLQKIIPFFCA78CC,37,125.45,住家用,鋼筋混凝土造,72年9月12日,七層,
RPOPMLQKIIPFFCA97CC,36,95.15,住家用,鋼筋混凝土造,73年3月30日,五層,
RPTPMLQKIIPFFCA48CC,18,184.43,工業用,見使用執照,91年8月26日,十層,
RPTPMLQKIIPFFCA48CC,18,28.18,共有部分,見使用執照,91年8月26日,十層,
RPTPMLQKIIPFFCA48CC,18,112.25,共有部分,見使用執照,91年8月26日,十層,
RPPQMLQKIIPFFCA18CC,49,81.68,商業用,鋼筋混凝土造,60年12月1日,十四層,
RPSPMLPKIIPFFBA18CC,,112.04,,鋼筋混凝土造,,五層,
RPTOMLPKIIPFFDA38CC,1,72.14,見其他登記事項,見其他登記事項,108年11月7日,十層,
